id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
djinn,ג'יני,השתמש בחוק המיוחד של הג'יני. כל השחקנים יודעים מה הוא.,,,,
doomsayer,שוחר האבדון,"אם 4 או יותר שחקנים חיים, כל שחקן חי רשאי לבחור בפומבי (פעם אחת במשחק) ששחקן מאותה הקבוצה שלו ימות.",,,,
dreamer,חולמני,"בכל לילה, תבחר שחקן (חוץ מעצמך וממטיילים): אתה לומד דמות אחת רעה ואחת טובה, מתוכם אחד נכון.","החולמני מצביע על שחקן. תראה לו דמות אחת טובה ואחת רעה, כשאחת מהן היא הדמות האמיתית.","החולמני מצביע על שחקן. תראה לו דמות אחת טובה ואחת רעה, כשאחת מהן היא הדמות האמיתית.",,
drunk,שיכור,"אתה לא יודע שאתה שיכור. אתה חושב שאתה תושב-עיירה, אבל אתה לא.",,,שיכור,
duchess,דוכסית,"בכל יום, 3 שחקנים רשאים לבקר אותך. בלילה*, כל מבקר לומד כמה מבקרים הם רעים, אבל אחד מהם יקבל מידע שגוי.",,,,"מבקר, מידע שגוי"
empath,בוחן לבבות,"בכל לילה, אתה לומד כמה מבין 2 השכנים החיים שלך הם רעים.","הראה מספר עם האצבעות (0,1,2) שאומר כמה שכנים חיים רעים יש לבוחן הלבבות.","הראה מספר עם האצבעות (0,1,2) שאומר כמה שכנים חיים רעים יש לבוחן הלבבות.",,
engineer,מהנדס,"פעם אחת במשחק, בלילה, תבחר איזה מהמשרתים או איזה שד יהיו במשחק.","המהנדס מנדנד את ראשו לשלילה, או מצביע על שד או על המספר הרלוונטי של משרתים. אם המהנדס בחר בדמויות, תחליף את השד או את המשרתים בבחירות של המהנדס, ואז תעיר את השחקנים שתפקידם השתנה ותראה להם את התפקיד החדש שלהם.","המהנדס מנדנד את ראשו לשלילה, או מצביע על שד או על המספר הרלוונטי של משרתים. אם המהנדס בחר בדמויות, תחליף את השד או את המשרתים בבחירות של המהנדס, ואז תעיר את השחקנים שתפקידם השתנה ותראה להם את התפקיד החדש שלהם.",,אין יכולת
eviltwin,התאום הרשע,"אתה ושחקן מהקבוצה הנגדית יודעים אחד על השני. אם השחקן הטוב מוצא להורג, הרעים מנצחים. הטובים לא יכולים לנצח אם שניכם חיים.","תעיר את התאום הרשע ואת התאום שלו. תוודא שהם שמו לב אחד לשני. תצביע על התאום הרשע, ותראה את אסימון ""התאום הרשע"" לתאום הטוב. תצביע על התאום הטוב, ותראה את אסימון הדמות שלו לתאום הרשע.",,,תאום
exorcist,מגרש השדים,"בכל לילה*, תבחר שחקן (שונה מהלילה הקודם): אם בחרת את השד, הוא לומד מי אתה ולא קם בלילה.",,"מגרש השדים מצביע על שחקן, שונה מהלילה הקודם. אם השחקן שנבחר הוא השד: תעיר את השד. תראה לו את אסימון מגרש השדים. תצביע למגרש השדים. השד לא פועל הלילה.",,נבחר
fanggu,פאנג גו,"בכל לילה*, תבחר שחקן: הוא מת. הזר הראשון שהיכולת הזו הורגת הופך לפאנג גו רע ואתה מת במקום [+1 זר]",,"הפאנג גו מצביע על שחקן. השחקן הזה מת. או, אם השחקן הזה היה זר ואין עוד פאנג גו במשחק: הפאנג גו מת במקום השחקן שנבחר. השחקן שנבחר הוא עכשיו פאנג גו רשע. תעיר את הפאנג גו החדש. תראה לו את אסימון ""אתה"" ואת אסימון הפאנג גו. תראה לו את אסימון ""אתה"" ואגודל כלפי מטה שמסמן ""רשע"".",,"מת, פעם אחת"
farmer,חקלאי,"אם אתה מת בלילה, שחקן טוב חי הופך להיות החקלאי.",,"אם החקלאי מת הלילה, תבחר שחקן טוב אחר ותהפוך אותם לחקלאי. תעיר את השחקן הזה, תראה לו את אסימון ""אתה"" ואת אסימון ה""חקלאי"".",,
fearmonger,מעורר הפחד,"בכל לילה, תבחר שחקן. אם אתה מעמיד אותו להצבעה והוא מוצא להורג, הקבוצה שלו מפסידה. כל השחקנים יודעים כאשר בחרת שחקן חדש.",מעורר הפחד מצביע על שחקן. תניח את אסימון הפחד ליד השחקן הנבחר ותודיע שנבחר שחקן חדש עם היכולת של מעורר הפחד.,"מעורר הפחד מצביע על שחקן. אם הוא בחר בשחקן שונה מהלילה הקודם, תניח את אסימון הפחד ליד השחקן הנבחר ותודיע שנבחר שחקן חדש עם היכולת של מעורר הפחד.",,פחד
fibbin,צ'קלפן,"פעם אחת במשחק, שחקן טוב אחד עלול לקבל מידע שגוי.",,,,שומש
fiddler,כנר,"פעם אחת במשחק, השד בוחר בסודיות שחקן מהקבוצה הנגדית: כל השחקנים בוחרים מי מבין שני השחקנים האלה מנצח.",,,,
fisherman,דייג,"פעם אחת במשחק, במהלך היום, תבקר את מספר הסיפורים בשביל עצה שתעזור לך לנצח.",,,,אין יכולת
flowergirl,נערת הפרחים,"בכל לילה*, את לומדת אם השד הצביע היום.",,תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם השד הצביע היום. ,,"שד הצביע, שד לא הצביע"
fool,שוטה,"בפעם הראשונה שאתה מת, אתה לא מת.",,,,אין יכולת
fortuneteller,מגלה עתידות,"בכל לילה, תבחר 2 שחקנים: אתה לומד האם אחד מהם הוא השד. יש שחקן טוב שנחשב עבורך כמו שד.",מגלה העתידות מצביע על שני שחקנים. תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם אחד משניהם הוא השד.,מגלה העתידות מצביע על שני שחקנים. תנענע בראשך לחיוב או תנדנד לשלילה לגבי האם אחד משניהם הוא השד.,,הסחת דעת
gambler,מהמר,"בכל לילה*, תבחר שחקן ותנחש מה הדמות שלו: אם ניחשת שגוי, אתה מת.",,"המהמר מצביע על שחקן, ועל דמות בדף הדמויות. אם זה לא נכון, המהמר מת.",,מת
gangster,גנגסטר,"פעם אחת בכל יום, אתה רשאי להרוג שכן חי, אם השכן החי האחר מסכים.",,,,
general,גנרל,"בכל לילה, אתה לומד מה הצד שמספר הסיפורים מאמין שמנצח: טוב, רע או אף אחד מהם.","תראה לגנרל אגודל כלפי מעלה עבור טוב מנצח, אגודל כלפי מטה עבור רע מנצח, ואגודל לצד אם אף אחד מהם.","תראה לגנרל אגודל כלפי מעלה עבור טוב מנצח, אגודל כלפי מטה עבור רע מנצח, ואגודל לצד אם אף אחד מהם.",,
goblin,גובלין,"אם אתה מודיע בפומבי שאתה הגובלין כשאתה מועמד להצבעה ואתה גם מוצא להורג באותו יום, הקבוצה שלך מנצחת.",,,,הודיע
godfather,הסנדק,"אתה מתחיל בידיעה של איזה זרים יש  במשחק. אם אחד מהם מת היום, תבחר שחקן הלילה: הוא מת. [-1 או +1 זר]",תראה כל אסימון של זר שבמשחק לסנדק.,אם זר מת היום: הסנדק מצביע על שחקן. השחקן הזה מת.,,"מת היום, מת"
golem,גולם,"אתה רשאי להעלות להצבעה רק פעם אחת במשחק. כשאתה עושה את זה, אם המועמד הוא לא השד, הוא מת.",,,,לא יכול להציע להצבעה
goon,בריון,"בכל לילה, השחקן הראשון שבוחר אותך עם היכולת שלו הוא שיכור עד השחר. אתה עובר לקבוצה שלו.",,,,שיכור
gossip,רכלן,"בכל יום, אתה רשאי לצאת בהצהרה פומבית. הלילה, אם היא נכונה, שחקן מת.",,אם ההצהרה הפומבית של הרכלן הייתה נכונה: תבחר שחקן שלא מוגן ממוות הלילה. הוא מת.,,מת
grandmother,הסבתא,"את מתחילה בידיעה של שחקן טוב והדמות שלו. אם השד הורג אותם, את מתה בנוסף.","תראה את האסימון של הדמות המסומנת, ותצביע על השחקן שזה הדמות שלו.","אם נכד של הסבתא נהרג ע""י השד בלילה: הסבתא מתה.",,נכד
gunslinger,תותחן,"בכל יום, אחרי שהצביעו בהצבעה הראשונה, אתה רשאי לבחור שחקן שהצביע: הוא מת.",,,,
harlot,פרוצה,"בכל לילה*, תבחרי שחקן חי: אם הוא מסכים, את לומדת מה הדמות שלו, אבל שניכם עלולים למות.",,"הפרוצה מצביעה על שחקן כלשהו. אחר כך, תרדים את הפרוצה. תעיר את השחקן הנבחר, ותראה להם ""הדמות הזו בחרה אותך"" ואת אסימון ה""פרוצה"". השחקן הזה מנענע בראשו לחיוב או מנדנד לשלילה. אם הוא נענע לחיוב, תעיר את הפרוצה ותראה לה את הדמות של השחקן הנבחר. לאחר מכן תחליט אם שניהם מתים.",,מת
harpy,Harpy,"Each night, choose 2 players: tomorrow, the 1st player is mad that the 2nd is evil, or both might die.","Wake the Harpy; they point at one player, then another. Wake the 1st player the Harpy pointed to, show them the 'This character has selected you' card, show them the Harpy token, then point at the 2nd player the Harpy pointed to.","Wake the Harpy; they point at one player, then another. Wake the 1st player the Harpy pointed to, show them the 'This character has selected you' card, show them the Harpy token, then point at the 2nd player the Harpy pointed to.",,"Mad, 2nd"
hellslibrarian,ספרנית הגיהנום,משהו רע עלול לקרות למי שמדבר כשמספר הסיפורים מבקש שקט.,,,,משהו רע
heretic,כופר,"כל מי שמנצח הפסיד, וכל מי שמפסיד ניצח, גם אם אתה מת.",,,,
highpriestess,High Priestess,"Each night, learn which player the Storyteller believes you should talk to most.",Point to a player.,Point to a player.,,
huntsman,צייד,"פעם אחת במשחק, בלילה, תבחר שחקן חי: אם בחרת בעלמה, היא הופכת להיות תושב-עיירה שלא במשחק. [+עלמה]","הצייד מנדנד את ראשו לשלילה או מצביע על שחקן. אם הוא הצביע על העלמה, תעיר את השחקן המתאים ותראה לו את אסימון ""אתה"" ואסימון של דמות שלא נמצאת במשחק.","הצייד מנדנד את ראשו לשלילה או מצביע על שחקן. אם הוא הצביע על העלמה, תעיר את השחקן המתאים ותראה לו את אסימון ""אתה"" ואסימון של דמות שלא נמצאת במשחק.",,אין יכולת
imp,שדון,"בכל לילה*, תבחר שחקן: הוא מת. אם בחרת בעצמך בדרך הזו, משרת הופך להיות השדון.",,"השדון מצביע על שחקן. השחקן הזה מת. אם השדון בחר בעצמו בדרך הזו: תחליף את התפקיד של משרת חי אחד עם אסימון השדון המיותר. תראה לו את אסימון ""אתה"" ואת אסימון השדון.",,מת
innkeeper,בעל הפונדק,"בכל לילה*, תבחר 2 שחקנים: הם לא יכולים למות הלילה, אבל אחד מהם שיכור עד השחר.",,השחקנים המוגנים והשיכורים מהלילה הקודם מאבדים את הסימונים הללו. בעל הפונדק מצביע על שני שחקנים. הם מוגנים. אחד מהם שיכור.,,"מוגן, שיכור"
investigator,חוקר,אתה מתחיל עם הידיעה ששחקן אחד מתוך שניים הוא משרת מסוים.,"תראה אסימון של משרת שנמצא במשחק לחוקר. תצביע על שני שחקנים, כאשר אחד מהם הוא הדמות הזו.",,,"משרת, לא משרת"
judge,שופט,"פעם אחת במשחק, אם שחקן אחר העלה להצבעה, אתה רשאי לאלץ את ההוצאה להורג להצליח או להיכשל.",,,,אין יכולת
juggler,להטוטן,"ביום הראשון שלך, תנחש בפומבי עד 5 דמויות של שחקנים (5 זוגות של דמות-שחקן). בלילה, אתה לומד כמה מהניחושים שלך היו נכונים.",,"אם היום היה היום הראשון: תראה עם היד מספר (1,2,...) של מספר הניחושים הנכונים של הלהטוטן.",,ניחוש נכון
king,מלך,"בכל לילה, אם יש יותר מתים מחיים, אתה לומד דמות אחת שבחיים. השד יודע מי אתה.","תעיר את השד, תראה לו את אסימון ""הדמות הזו בחרה אותך"", את אסימון ה""מלך"", ותצביע על המלך.","אם יש יותר מתים מחיים, תראה למלך אסימון של דמות של שחקן חי.",,
klutz,קונילמל,"כשאתה לומד שמתת, תבחר בפומבי שחקן חי אחד: אם הוא רע, הקבוצה שלך מפסידה.",,,,
knight,Knight,You start knowing 2 players that are not the Demon.,Point to 2 non-Demon players.,,,"Know, Know"
legion,לגיון,"בכל לילה*, שחקן עלול למות. הוצאות להורג נכשלות אם רק רעים הצביעו. אתה נרשם גם כמשרת. [רוב השחקנים הם הלגיון]",,"תבחר שחקן, הוא מת.",,"מת, עומד למות"
leviathan,לויתן,"אם יותר משחקן טוב אחד מוצא להורג, אתה מנצח. כל השחקנים יודעים שאתה במשחק. אחרי היום החמישי, הרע מנצח.","תניח את סממן ""יום 1"" של הלוויתן. תכריז: ""הלוויתן במשחק, זה היום הראשון"".",תשנה את סממן התזכורת של הלוויתן בהתאם.,,"יום 1, יום 2, יום 3, יום 4, יום 5, שחקן טוב הוצא להורג"
librarian,ספרנית,את מתחילה בידיעה שאחד מתוך שני שחקנים הוא זר מסוים (או שאין זרים במשחק).,"תראה אסימון של זר מסוים שנמצא במשחק, ותצביע על שני שחקנים שאחד מהם הוא הזר שהראית.",,,"זר, לא זר"
lilmonsta,מפלצונת,"בכל לילה, המשרתים בוחרים מי שומר על אסימון המפלצונת והוא ""יהיה השד"". שחקן מת בכל לילה*. [+1 משרת]","תעיר את כל המשרתים ביחד, ותן להם להצביע מי הם רוצים שישמור על המפלצונת.","תעיר את כל המשרתים ביחד, ותן להם להצביע מי הם רוצים שישמור על המפלצונת. תבחר שחקן, הוא מת.","השד, מת",
lleech,עלווקה,"בכל לילה*, תבחר שחקן: הוא מת. בלילה הראשון שלך אתה בוחר שחקן חי: הוא מורעל. אתה מת אם ורק אם הוא מת.",העלווקה מצביע על שחקן. תשים את אסימון המורעל לידו.,העלווקה מצביעה על שחקן. הוא מת.,,"מת, מורעל"
lunatic,משוגע,"אתה חושב שאתה השד, אבל אתה לא. השד יודע מי אתה ואת מי אתה בוחר בלילה.","אם יש 7 שחקנים או יותר: תראה למשוגע מספר משרתים שרירותיים, כמספר המשרתים שבמשחק. תראה למשוגע 3 אסימוני דמויות טובות שרירותיות. אם האסימון שהמשוגע קיבל הוא של שד שקם בלילה הראשון: הרשה למשוגע לעשות את הפעולות של השד. תשים את סממן ה""תקיפה"" על השחקנים שהמשוגע בחר בהם. תעיר את השד. תראה לו את סממני ה""תקיפה"", ואז תצביע על השחקנים שהמשוגע בחר בהם. תסיר את סממני ה""תקיפה"". ","הרשה למשוגע לעשות את הפעולות של השד. תשים את סממן ה""תקיפה"" על השחקנים שהמשוגע בחר בהם. תעיר את השד. תראה לו את סממני ה""תקיפה"", ואז תצביע על השחקנים שהמשוגע בחר בהם. תסיר את סממני ה""תקיפה"". ",,"התקפה 1, התקפה 2, התקפה 3"
lycanthrope,ליקנטרופ,"בכל לילה*, תבחר שחקן חי: אם הוא טוב, הוא מת, אבל הוא השחקן היחיד שיכול למות הלילה.",,"הליקנטרופ מצביע על שחקן חי: אם הוא טוב, הוא מת ואף אחד אחר לא מת הלילה.",,מת
magician,קוסם,השד חושב שאתה משרת. המשרתים חושבים שאתה שד.,,,,
marionette,מריונטה,את חושבת שאת דמות טובה אבל את לא. השד יודע מי את. [את שכנה של השד],"תבחר אחד מהשכנים הטובים של השד ותניח את סממן ה""מריונטה"" לידו. תעיר את השד ותראה לו את המריונטה.",,המריונטה,
mastermind,גאון,"אם השד מת בהוצאה להורג (מה שיסיים את המשחק), שחקו לעוד יום אחד. אם שחקן מוצא להורג, הקבוצה שלו מפסידה.",,,,
mathematician,מתמטיקאי,"בכל לילה, אתה לומד כמה יכולות של שחקנים פעלו באופן שונה (מאז השחר) בכלל יכולת של שחקן אחר.","תראה למתמטיקאי מספר עם היד (0,1,2,...) של מספר השחקנים שהיכולות שלהם לא תפקדו טוב בגלל יכולות אחרות.","תראה למתמטיקאי מספר עם היד (0,1,2,...) של מספר השחקנים שהיכולות שלהם לא תפקדו טוב בגלל יכולות אחרות.",,שונה
matron,אם הבית,"בכל יום, את רשאית לבחור עד 3 זוגות שחקנים שיחליפו מקומות ביניהם. שחקנים לא רשאים לקום מהכיסאות כדי לדבר בפרטיות.",,,,
mayor,ראש העיר,"אם יש רק 3 שחקנים חיים ואין הוצאה להורג, הקבוצה שלך מנצחת. אם אתה מת בלילה, שחקן אחר עלול למות במקומך.",,,,
mezepheles,מזפליס,אתה מתחיל בידיעה של מילה סודית. השחקן הראשון שאומר את המילה הזו הופך לרע בלילה.,תראה למזפליס את המילה הסודית שלו.,"תעיר את השחקן הטוב הראשון שאמר את המילה הסודית של המזפליס ותראה לו את אסימון ""אתה"" ואת סימן האגודל כלפי מטה שמסמן שהוא רע.",,"הפך לרע, אין יכולת"
minstrel,זמר,"כשמשרת מת בהוצאה להורג, כל שאר השחקנים (חוץ מהמטיילים) שיכורים עד השחר הבא.",,,,כולם שיכורים
monk,נזיר,"בכל לילה*, תבחר שחקן (חוץ מעצמך): הוא בטוח מפני השד הלילה.",,"השחקן המוגן הקודם כבר לא מוגן. הנזיר מצביע על שחקן חוץ מעצמו. תסמן את השחקן הזה כ""מוגן"".",,מוגן
moonchild,ילד הירח,"כשאתה לומד שאתה מת, תכריז בפומבי על שחקן אחד חי. הלילה, אם הוא היה שחקן טוב, הוא מת.",,"אם ילד הירח השתמש ביכולת שלו כדי לבחור שחקן היום: אם השחקן הזה היה טוב, הוא מת.",,מת
mutant,מוטנט,"אם אתה ""משתגע"" על זה שאתה זר, אתה עלול למות.",,,,
