id,name,ability,firstNightReminder,otherNightReminder,remindersGlobal,reminders
beggar,Tiggare,"Du måste använda en röst-pollett för att rösta. Döda spelare kan välja att ge dig deras. Om de gör det, så får veta deras sida.",,,,
bishop,Biskop,Bara Berättaren kan nominera. Minst 1 spelare från motsatt lag måste bli nominerad varje dag.,,,,"Nominera god,Nominera ond."
bonecollector,Bensamlare,"En gång per match, under natten, välj en död spelare: de får tillbaka sin förmåga tills skymning.",,"Bensamlaren skakar antingen på huvudet eller pekar på en död spelare. Om de pekar på en död spelare, sätt Bensamlarens ""Har förmåga"" markör bredvid den valda spelarens karaktär. (De kan behöva väckas inatt för att använda sin förmåga)",,"Har förmåga,Ingen förmåga"
boomdandy,Boomdandy,"Om du blir avrättad, dör alla förutom 3 spelare. 1 minut senare, dör spelaren som flest spelare pekar på.",,,,
bountyhunter,Prisjägare,"Du börjar att veta 1 ond spelare. Om spelaren du känner till dör, får du vetskap om en ny ond spelare i natt. [1 Bybo är ond]","Peka på 1 ond spelare. Väck Bybon som är ond och visa dem ""Du är"" kortet och signalera tumme ner för ond.","Om den onda spelaren dör, peka på en till ond spelare.",,Känd
buddhist,Buddhist,De första 2 minuterna varje dag får erfarna spelare inte prata.,,,,
bureaucrat,Byråkrat,"Varje natt, välj en spelare (inte dig själv): deras röst räknas som 3 röster imorgon.","Byråkraten pekar på en spelare. Lägg Byråkratens ""3 röster"" markör vid den valda spelarens karaktär.","Byråkraten pekar på en spelare. Lägg Byråkratens ""3 röster"" markör vid den valda spelarens karaktär.",,3 röster
butcher,Slaktare,"Varje dag, efter den första avrättningen, får du nominera igen.",,,,
butler,Butler,"Varje natt, välj en spelare (inte dig själv): imorgon får du bara rösta om den du valt också röstar.","Butlern pekar på en spelare. Markera den spelaren som ""Mästare""","Butlern pekar på en spelare. Markera den spelaren som ""Mästare""",,Mästare
cannibal,Kanibal,"Du har förmågan av den senaste avrättade karaktären. Om den var ond, blir du förgiftad tills en god spelare dör av avrättning.",,,,"Dog idag,Förgiftad"
cerenovus,Cerenovus,"Varje natt, välj en spelare & en god karaktär: hen är ""galen"" att vara den karaktären imorgon, annars kan hen bli avrättad.","Cerenouvus pekar på en spelare, sen på en karaktär på deras karaktärslista. Väck den spelaren, visa dem ""Den här karaktären valde dig""-kortet och sedan Cerenouvus. Visa den valda karaktären. Om spelaren inte är ""galen"" att den är den karaktären imorgon, kan den avrättas.","Cerenouvus pekar på en spelare, sen på en karaktär på sin karaktärslista. Väck den spelaren, visa dem ""Den här karaktären valde dig"" kortet och sedan Cerenouvus. Visa den valda karaktäen. Om spelaren inte är ""galen"" att de är den karaktären imorgon, så kan du avrätta den.",,Mad
chambermaid,Kammarjungfru,"Varje natt, välj 2 levande spelare (inte dig själv): du får reda på hur många som vaknade inatt på grund av deras egen förmåga.","Kammarjungfrun pekar på två spelare. Visa dem fingersignalen (0, 1, 2, etc.) för hur många av de valda spelarna som vaknade inatt på grund av deras egna förmåga.","Kammarjungfrun pekar på två spelare. Visa dem fingersignalen (0, 1, 2, ...) för hur många av de valda spelarna som vaknade inatt på grund av deras egna förmåga.",,
chef,Kock,Du börjar att veta hur många par onda spelare det finns.,"Visa fingersignalen (0, 1, 2, etc.) för antalet par onda spelare.",,,
choirboy,Körgosse,"Om Demonen dödar Kungen, får du reda på vilken spelare som är Demonen. [+ Kung]",,"Om Kungen blev dödad av Demonen, väck Körgossen och peka på spelaren som är Demonen.",,
clockmaker,Klockmakare,Du börjar att veta hur många steg Demonen har till sin närmste Undersåte.,"Visa fingersignalen (1, 2, 3, etc.) för hur många steg Demonen har till sin närmaste Undersåte.",,,
courtier,Hovman,"En gång per spel, om natten, välj en karaktär: den blir full i 3 dagar & 3 nätter.","Hovmannen skakar antingen på huvudet för nej, eller pekar på en karaktär på karaktärslistan. Om Hovmannen använder sin förmåga: Om den valda karaktären är med i spelet, blir den karaktären full.","Räkna ner de kvarstående dagarna för den fulla karaktären. Om Hovmannen inte har använt sin förmåga: Hovmannen skakar antingen på huvudet för nej, eller pekar på en karaktär på karaktärslistan. Om Hovmannen använder sin förmåga: Om den valda karaktären är med i spelet, blir den karaktären full.",,"Full 1,Full 2,Full 3,Ingen förmåga"
cultleader,Sektledare,"Varje natt, blir du på samma sida som en av dina levande grannar. Om alla goda spelare väljer att gå med i din sekt, så vinner ditt lag.","Om Sektledaren bytte lag, visa dem tummen upp för god eller tumme ner för ond.","Om Sektledaren bytte lag, visa dem tummen upp för god eller tumme ner för ond.",,
damsel,Flicka,"Alla Undersåtar vet att du är i spel. Om en Undersåte gissar dig offentligt (ett försök), så förlorar ditt lag.","Väck alla Undersåtar, visa dem ""Den här karaktären valde dig"" kortet och sedan Flicka.","Om vald av Jägaren, väck Flickan, visa dem ""Du är"" kortet och en Bybo som inte är med i spelet.",,Har gissat
deusexfiasco,Deus ex Fiasco,"En gång per spel, kommer Berättaren att göra ett ""misstag"", korrigera det och offentligt erkänna det.",,,,Whoops
deviant,Avvikare,"Om du var rolig idag, så kan du inte dö av exil.",,,,
devilsadvocate,Djävulens Advokat,"Varje natt, välj en levande spelare (En annan än förra natten): om de blir avrättade imorgon, så dör de inte.",Djävulens Advokat pekar på en levande spelare. Den spelaren överlever avrättning imorgon.,"Djävulens Advokat pekar på en levande spelare, en annan från förra natten. Den spelaren överlever avrättning imorgon.",,Överlever avrättning
djinn,Djinn,Använd Djinns specialregel. Alla spelare vet vad regeln är.,,,,
doomsayer,Domedagsprofet,"Om 4 eller fler spelare lever, får varje levande spelare offentligt välja (en gång per spel) att en spelare på samma sida som dem dör.",,,,
dreamer,Drömmare,"Varje natt, välj en spelare (inte dig själv eller Resande): du lär dig 1 god och 1 ond karaktär, 1 av dem är korrekt.",Drömmaren pekar på en spelare. Visa 1 god och 1 ond karaktär; en av dem är korrekt.,Drömmaren pekar på en spelare. Visa 1 god och 1 ond karaktär; en av dem är korrekt.,,
drunk,Fyllo,"Du vet inte att du är Fyllot. Du tror att du är Bybo, men det är du inte.",,,Fyllo,
duchess,Hertiginna,"Varje dag, 3 spelare kan välja att besöka dig. Om natten*, varje besökare får veta hur många besökare är onda, men 1 får falsk information.",,,,"False Info,Visitor"
empath,Empat,"Varje natt, du får veta hur många av dina 2 levande grannar som är onda.","Visa fingersignalen (0, 1, 2) för antalet onda levande grannar till Empaten.","Visa fingersignalen (0, 1, 2) för antalet onda levande grannar.",,
engineer,Ingenjör,"En gång per spel, om natten, välj vilka Undersåtar eller vilken Demon som är i spel.","Ingenjören skakar på huvudet för nej, eller pekar på en Demon eller pekar på den relevanta mängden Undersåtar. Om Ingenjören väljer karaktärer, byt ut Demonen eller Undersåtar med valen, sen väck de relevanta spelarna och visa dem ""Du är"" kortet och de valda karakärerna.","Ingenjören skakar på huvudet för nej, eller pekar på en Demon eller pekar på den relevanta mängden Undersåtar. Om Ingenjören väljer karaktärer, byt ut Demonen eller Undersåtar med valen, sen väck de relevanta spelarna och visa dem ""Du är"" kortet och de valda karakärerna.",,Ingen förmåga
eviltwin,Ond Tvilling,"Du & en spelare på andra laget vet om varandra. Om den goda spelaren blir avrättad, vinner onda. Goda kan inte vinna om ni båda lever.",Väck den Onda Tvillingen och deras tvilling. Se till att de har noterat varandra. Peka på den Onda Tvillingen. Visa Onda Tvilling karaktären till den andra tvillingen. Peka på tvillingen. Visa deras karaktär till den Onda Tvilling spelaren.,,,Tvilling
exorcist,Exorsist,"Varje natt*, välj en spelare (inte samma som förra natten): Demonen, om vald, får veta vem du är och väcks sen inte på natten.",,"Exorsisten pekar på en spelare, annan än förra natten. Om den spelaren är Demonen: Väck Demonen. Visa dem Exorsist karaktären. Peka på Exorsisten. Demonen agerar inte i natt.",,Vald
fanggu,Fang Gu,"Varje natt*, välj en spelare: Den dör. Den första Utböling som väljs blir en ny ond Fang Gu & du dör istället. [+1 Utböling]",,"Fang Gu pekar på en spelare. Den spelaren dör. Eller, om den valda spelaren var en Utböling och det finns inga fler Fang Gu i spelet: Fang Gu dör istället för den valda spelaren. Den valda spelaren är nu en ond Fang Gu. Visa dem ""Du är"" kortet, sen Fang Gu polletten. Visa dem ""Du är"" kortet och sen tummen ner för ond.",,"Död,En"
farmer,Bonde,Om du dör om natten blir en levande spelare Bonde.,,"Om en Bonde dog inatt, välj en annan god spelare och gör dem till en ny Bonde. Väck den spelaren, visa dem ""Du är"" kortet och Bonde-polletten.",,
fearmonger,Panikspridare,"Varje natt, välj en spelare. Om du nominerar & avrättar dem, så förlorar deras lag. Alla spelare får reda på om du väljer en ny spelare.",Panikspridaren pekar på en spelare. Placera Rädd-polletten bredvid den spelaren och utropa att en ny spelare har valts av Panikspridaren.,"Panikspridaren pekar på en spelare. Om det är en annan än förra natten, placera Rädd-polletten bredvid den spelaren och utropa att en ny spelare har valts av Panikspridaren.",,Rädd
fibbin,Hittepåare,"En gång per spel, 1 god spelare kan få falsk information.",,,,Used
fiddler,Spelman,"En gång per spel, Demonen väljer i hemlighet en spelare av motsatt lag: alla spelare väljer vilken av dessa 2 spelare vinner.",,,,
fisherman,Fiskare,"En gång per spel, under dagen, besök Berättaren för ett råd att hjälpa dig vinna.",,,,Ingen förmåga
flowergirl,Blomsterflicka,"Varje natt*, få reda på om Demonen röstade idag.",,"Nicka ""ja"" eller skaka på huvudet ""nej"" beroende på om Demonen visade idag. Placera ""Demonen röstade"" om Demonen röstade, annars ta bort den och lägg dit ""Demonen röstade inte"".",,"Demonen röstade,Demonen röstade inte"
fool,Narr,"Första gången du dör, dör du inte.",,,,Ingen förmåga
fortuneteller,Spådam,"Varje natt, välj 2 spelare: du får reda på om någon av dem är Demonen. Det finns en god spelare som registrerar som Demonen för dig.",Spådamen pekar på två spelare. Ge huvudsignalen (nicka för ja eller skaka på huvudet för nej) beroende på om en av dem är Demonen.,Spådamen pekar på två spelare. Ge huvudsignalen (nicka för ja eller skaka på huvudet för nej) beroende på om en av dem är Demonen.,,Villospår
gambler,Hasardspelare,"Varje natt*, välj en spelare & gissa deras karaktär: om du gissar fel, dör du.",,"Hasardspelaren pekar på en spelare, och på en karaktär på deras karaktärslista. Om det inte är rätt, dör Hasardspelaren.",,Död
gangster,Gangster,"En gång per dag, du får välja att döda en levande granne, om din andra granne tillåter det.",,,,
general,General,"Varje natt, du lär dig vilken sida Berättaren tycker vara i ledning: goda, onda eller ingen.","Visa Generalen tumme upp om det goda laget vinner, tumme ner om det onda laget vinner, eller tumme åt sidan om ingen vinner.","Visa Generalen tumme upp om det goda laget vinner, tumme ner om det onda laget vinner, eller tumme åt sidan om ingen vinner.",,
goblin,Troll,"Om du påstår att du är Troll offentligt när du blir nominerad & blir avrättad den dagen, vinner ditt lag.",,,,Påstått
godfather,Gudfader,"Du börjar att veta vilka Utbölingar som är med i spelet. Om 1 dog idag, välj en spelare inatt: de dör. [−1 or +1 Utböling]",Visa varje Utböling som är i spel.,Om en Utböling dog idag: Gudfadern pekar på en spelare. Den spelaren dör.,,"Dog idag,Död"
golem,Golem,"Du får bara nominera en gång per spel. När du gör det, om den nominerade inte är Demonen, dör de.",,,,Kan inte nominera
goon,Dumbom,"Varje natt, den första spelaren som väljer dig med deras förmåga är full tills skymning. Du byter till deras sida.",,,,Full
gossip,Skvallrare,"Varje dag, du får göra ett offentligt påstående. Inatt, om det var sant, dör en spelare.",,Om Skvallrarens offentliga påstående var sant: Välj en spelare som inte är skyddad från att dö inatt. Den spelaren dör.,,Död
grandmother,Mormor,"Du börjar att veta en god spelare & deras karaktär. Om Demonen dödar dem, dör du också.",Visa den markerade karaktärs-polletten. Peka på den markerade spelaren.,Om Mormors barnbarn dog av Demonen inatt: Dör Mormor också.,,Barnbarn
gunslinger,Revolverman,"Varje dag, efter den första omröstningen har räknats, får du välja en spelare som röstade: de dör.",,,,
harlot,Sköka,"Varje natt*, välj en levande spelare: om de accepterar, lär du dig deras karaktär, men ni båda kanske dör inatt.",,"Skökan pekar på en spelare. Sen, lägg Skökan. Väck den valda spelaren, visa dem ""den här karaktären valde dig"" kortet och sedan Sköka-polletten. Spelaren antingen nickar eller skakar på huvudet. Om de nickade, väck Skökan och visa dem den valda spelarens karaktär. Sedan, får du välja om båda dör.",,Död
harpy,Harpy,"Each night, choose 2 players: tomorrow, the 1st player is mad that the 2nd is evil, or both might die.","Wake the Harpy; they point at one player, then another. Wake the 1st player the Harpy pointed to, show them the 'This character has selected you' card, show them the Harpy token, then point at the 2nd player the Harpy pointed to.","Wake the Harpy; they point at one player, then another. Wake the 1st player the Harpy pointed to, show them the 'This character has selected you' card, show them the Harpy token, then point at the 2nd player the Harpy pointed to.",,"Mad, 2nd"
hellslibrarian,Helvetets Biblotikarie,Något dåligt kan hända till den spelaren som överröstar en Berättaren som bett om tystnad.,,,,Something Bad
heretic,Hädare,"Den som vinner, förlorar & den som förlorar, vinner, även om du är död.",,,,
highpriestess,High Priestess,"Each night, learn which player the Storyteller believes you should talk to most.",Point to a player.,Point to a player.,,
huntsman,Jägare,"En gång per spel, under natten, välj en levande spelare: Flickan, om vald, blir en Bybo som inte är med i spelet. [+Flicka]","Jägaren skakar på huvudet för ""nej"" eller pekar på en spelare. Om de pekar på Flickan, väck den spelaren, visa dem ""Du är"" kortet och en Bybo som inte är med i spelet.","Jägaren skakar på huvudet för ""nej"" eller pekar på en spelare. Om de pekar på Flickan, väck den spelaren, visa dem ""Du är"" kortet och en Bybo som inte är med i spelet.",,Ingen förmåga
imp,Djävul,"Varje natt*, välj en spelare: de dör. Om du väljer dig själv, blir en Undersåte Djävulen.",,"Djävulen pekar på en spelare. Den spelaren dör. Om Djävulen väljer sig själv: Byt ut karaktären av 1 levande Undersåte med en extra Djävuls-pollett. Visa dem ""Du är"" kortet och sedan Djävulen.",,Död
innkeeper,Värdshusvärd,"Varje natt*, välj 2 spelare: de kan inte dö inatt, men 1 av dem är full tills skymning.",,Den förra skyddade och fulla spelare blir av med de markörerna. Värdshusvärden pekar på 2 spelare. De spelarna är skyddade. En är full.,,"Full,Skyddad"
investigator,Utredare,Du börjar veta att 1 av 2 spelare är en specifik Undersåte.,"Visa en karaktärs-pollett av en Undersåte som är med i spelet. Peka på 2 spelare, varav 1 av dem är den karaktären.",,,"Fel,Undersåte"
judge,Domare,"En gång per spel, om en annan spelare nominerade, får du välja att tvinga avrättningen att gå genom eller misslyckas.",,,,Ingen förmåga
juggler,Jonglör,"På den första dagen, gissa offentligt upp till 5 spelares karaktärer. Den natten, lär du dig hur många du gissade rätt.",,"Om idag var Junglörens första dag: Visa dem handsignalen för antalet (0, 1, 2, etc.) ""Rätt"" markörer. Ta bort markörerna.",,Rätt
king,Kung,"Varje natt, om de döda är fler än de levande, får du veta en levande karaktär. Demonen vet vem du är.","Väck Demonen, visa dem ""Den här karaktären valde dig"" kortet, visa dem Kung-polletten och peka på spelaren som är Kungen.","Om det är fler döda än levande spelare, visa Kungen en karaktär-pollett av en levande spelare.",,
klutz,Klant,"När du får veta att du dött, välj offentligt 1 levande spelare: om hen är ond, förlorar ditt lag.",,,,
knight,Knight,You start knowing 2 players that are not the Demon.,Point to 2 non-Demon players.,,,"Know, Know"
legion,Legion,"Varje natt*, en spelare kan dö. Avrättningar misslyckas om bara onda spelare röstade. Du registrerar som en Undersåte också. [De flesta spelarna är Legion]",,"Välj en spelare, den spelaren dör.",,"Död,Kommer dö"
leviathan,Leviathan,"Om mer än 1 god spelare är avrättad, vinner du. Alla spelare vet att du är i spel. Efter dag 5, vinner onda.","Placera Leviathans ""Dag 1"" markör. Utropa ""Leviathan är i spel; det här är dag 1"".",Byt ut Leviathans Dagpåminnelse till nästa dagen.,,"Dag 1,Dag 2,Dag 3,Dag 4,Dag 5,God spelare avrättad"
librarian,Bibliotikarie,Du börjar veta att 1 av 2 spelare är en specifik Utböling. (Eller att inga är med i spelet).,"Visa en karaktärs-pollett av en Utböling som är i spel. Peka på 2 spelare, varav 1 är den karaktären.",,,"Fel,Utböling"
lilmonsta,Lil' Monsta,"Varje natt, Undersåtar väljer vem som är barnvakt till Lil'Monsta & ""Är Demonen"". 1 spelare dör varje natt*.  [+1 Undersåte]","Väck alla Undersåtar tillsammans, låt dem rösta genom att peka på den de vill ska vara barnvakt åt Lil'Monsta.","Väck alla Undersåtar tillsammans, låt dem rösta genom att peka på den de vill ska vara barnvakt åt Lil'Monsta. Välj en spelare, den spelaren dör.","Död,Är Demonen",
lleech,Igel,"Varje natt*, välj en spelare: den dör. Du börjar att välja en levande spelare: den är förgiftad - du dör om & och endast om den dör.",Igeln pekar på en spelare. Placera Förgiftad påminnelsemarkören.,Igeln pekar på en spelare. Den spelaren dör.,,"Död,Förgiftad"
lunatic,Galning,"Du tror du är en Demon, men det är du inte. Demonen vet vem du är & vem du väljer om natten.","Om 7 eller fler spelare är med: Visa Galningen ett relevant antal godtyckliga Undersåtar. Visa 3 godtyckliga goda karaktärer. Om polletten som Galningen fick är en Demon som skulle vakna inatt: Låt Galningen utföra Demonens aktioner. Placera deras ""attack"" markörer. Väck Demonen. Visa dem Demonens ricktiga karkatär-pollett. Visa dem spelaren som är Galningen. Om Galningen attackerade spelare: Visa den riktiga Demonen varje markerad spelare. Ta bort alla Galningens ""attack"" markörer.","Låt Galningen utföra aktionerna som Demonen skulle. Placera deras ""attack"" markörer. Om Galningen valde spelare: Väck Demonen. Visa dem ""attack"" markören och sedan peka på varke markerad spelare. Ta bort alla Galningens ""attack"" markörer.",,"Attack 1,Attack 2,Attack 3"
lycanthrope,Lykantrop,"Varje natt*, välj en levande spelare: om spelaren är god, dör hen, men hen är den enda spelaren som kan dö inatt.",,"Lykantropen pekar på en levande spelare: om spelaren är god, dör de och ingen annan kan dö inatt.",,Död
magician,Magiker,Demonen tror att du är en Undersåte. Undersåtar tror att du är en Demon.,,,,
marionette,marionette,"Du tror att du är en god karaktär, men det är du inte. Demonen vet vem du är. [Du sitter granne till Demonen]","Välj en av de goda spelarna bredvid Demonen och placera ""Är Marionett"" markören. Väck Demonen och visa dem Marionetten.",,Är Marionett,
mastermind,Mastermind,"Om Demonen dör av avrättning (avslutar spelet), spela i 1 till dag. Om en spelare då blir avrättad så förlorar hens lag.",,,,
mathematician,Matematiker,"Varje natt, du lär dig hur många spelares förmågor inte fungerade som de ska (sedan skymning) på grund av en annan karaktärs förmåga.","Visa handsignalen för antalet (0, 1, 2, etc.) spelares förmågor som inte fungerade som de ska på grund av en annan karaktärs förmåga.","Visa handsignalen för antalet (0, 1, 2, etc.) spelares förmågor som inte fungerade som de ska på grund av en annan karaktärs förmåga.",,Onormal
matron,Husmor,"Varje dag, du får välja upp till 3 set av 2 spelare som får byta plats. Spelare får inte lämna sin plats för att prata privat.",,,,
mayor,Borgmästare,"Om bara 3 spelare lever & ingen blir avrättad, vinner ditt lag. Om du dör om natten, kan en annan spelare dö istället.",,,,
mezepheles,Mezepheles,Du börjar med att veta ett hemligt ord. Den första goda spelaren som säger det hemliga ordet blir ond den natten.,Visa Mezepheles deras hemliga ord.,"Väck den första goda spelaren som säger Mezepheles hemliga ord och visa dem ""Du är"" kortet och sen tummen ner för ond.",,"Blir ond,Ingen förmåga"
minstrel,Bard,"När en Undersåte dör av avrättning, alla andra spelare (Förutom Resande) är fulla till skymning imorgon.",,,,Alla fulla
monk,Munk,"Varje natt*, välj en spelare (inte dig själv): Den är skyddad från Demonen inatt.",,"Den tidigare valda spelaren är inte längre skyddad. Munken pekar på en spelare (inte sig själv). Markera den spelaren som ""skyddad"".",,Skyddad
moonchild,Månbarn,"När du veta att du dött, välj offentligt 1 levande spelare. I natt, om hen var god, dör hen.",,"Om Månbarnet använder deras förmåga för att välja en spelare idag: Om den spelaren är god, dör de.",,Död
mutant,Mutant,"Om du är ""galen"" att du är en Utböling, kan du bli avrättad.",,,,
nightwatchman,Nattväktare,"En gång per spel, under natten, välj en spelare: de får reda på vem du är.","Nattväktaren kan peka på en spelare. Väck den spelaren, visa dem ""Den här karaktären valde dig"" kortet och Nattväktarens pollett, sen peka på spelaren som är Nattväktaren.","Nattväktaren kan peka på en spelare. Väck den spelaren, visa dem ""Den här karaktären valde dig"" kortet och Nattväktarens pollett, sen peka på spelaren som är Nattväktaren.",,Ingen förmåga
noble,Adel,"Du börjar att veta 3 spelare, 1 och endast 1 är ond.","Peka på 3 spelare och inkludera 1 ond spelare, i valfri ordning.",,,Sett
nodashii,No Dashii,"Varje natt*, välj en spelare: hen dör. Dina 2 Bybo-grannar är förgiftade.",,No Dashii pekar på en spelare. Den spelaren dör.,,"Död,Förgiftad"
oracle,Orakel,"Varje natt*, du får reda på hur många döda spelare är onda.",,"Visa handsignalen för antalet (0, 1, 2, etc.) döda spelare.",,
organgrinder,Organ Grinder,All players keep their eyes closed when voting & the vote tally is secret. Votes for you only count if you vote.,,,,About to die
pacifist,Pacifist,Avrättade goda spelare kanske inte dör.,,,,
philosopher,Filosof,"En gång per spel, under natten, välj en god karaktär: få deras förmåga. Om karaktären redan är i spel, blir den full.","Filosofen antingen skakar på huvudet för nej, eller pekar på en god karaktär på deras lista. Om de väljer en karaktär: Byt karaktärs-polletten med Filosofens pollett. Om karaktären är i spel, placera ""Full"" markören vid den spelaren och ""Inte Filosof"" markören bredvid Filosofen.","Om Filosofen inte har använt deras förmåga: Filosofen antingen skakar på huvudet för nej, eller pekar på en god karaktär på deras lista. Om de väljer en karaktär: Byt karaktärs-polletten med Filosofens pollett. Om karaktären är i spel, placera ""Full"" markören vid den spelaren och ""Inte Filosof"" markören bredvid Filosofen.","Full,Är Filosofen",
pithag,Pit-Hag,"Varje natt*, välj en spelare & en karaktär som de blir (om karaktären inte redan är i spel). Om en Demon är skapad, bestäms döda spelare ikväll av Berättaren.",,"Pit-Hag pekar på en spelare och en karaktär på listan. Om den karaktären inte är i spel, väck den valda spelaren och visa dem ""Du är"" kortet och den relevanta karaktärs-polletten. Om karaktären är i spel, händer ingenting.",,
pixie,Småfolk,"Du börjar veta 1 Bybo i spel. Om du är ""galen"" att du är den karaktären, får du deras förmåga när de dör.",Visa Småfolket 1 Bybo-pollett som är i spel.,,,"Galen,Har förmåga"
po,Po,"Varje natt*, du får välja en spelare: de dör. Om ditt senaste val var ingen, välj 3 spelare inatt.",,"Om Po valde ingen förra natten: Po pekar på 3 spelare. Annars: Po skakar antingen på huvudet för nej,  eller pekar på en spelare. Den valda spelaren dör.",,"3 attacker,Död"
poisoner,Giftblandare,"Varje natt, välj en spelare: den är förgiftad inatt och imorgon dag.",Giftblandaren pekar på en spelare. Den spelaren är förgiftad.,Den förra förgiftade spelaren är inte längre förgiftad. Giftblandaren pekar på en spelare. Den spelaren är förgiftad.,,Förgiftad
politician,Politiker,"Om du var spelaren mest ansvarig för att ditt lag förlorade, byter du lag & vinner, även om du är död.",,,,
poppygrower,Vallmo-odlare,"Undersåtar & Demoner vet inte om varandra. Om du dör, får de reda på varandra den natten.",Informera inte Demonen/Undersåtar vilka varandra är.,"Om Vallmo-odlaren har dött, visa Undersåtar/Demonen vilka varandra är.",,Onda vaknar
preacher,Predikant,"Varje natt, välj en spelare: om en Undersåte är vald, får de reda på det. Alla valda Undersåtar har ingen förmåga.","Predikanten väljer en spelare. Om en Undersåte blir vald, väck Undersåteen och visa dem ""Den här karaktären valde dig"" kortet och sedan Predikanten.","Predikanten väljer en spelare. Om en Undersåte blir vald, väck Undersåteen och visa dem ""Den här karaktären valde dig"" kortet och sedan Predikanten.",,På straffpredikan
professor,Professor,"En gång per spel, om natten*, välj en död spelare: om den är Bybo, blir den återupplivad.",,"Om Professorn inte har använt sin förmåga: Professorn skakar antingen på huvudet för nej, eller pekar på en spelare. Om den spelaren är en Bybo, lever de.",,"Ingen förmåga,Lever"
psychopath,Psykopat,"Varje dag, före nominering, får du offentligt välja en spelare: den dör. Om du blir avrättad, dör du bara om du förlorar i sten sax påse.",,,,
pukka,Pukka,"Varje natt, välj en spelare: den är förgiftad. Den senast förgiftade spelaren dör och sedan blir frisk.",Pukka pekar på en spelare. Den spelaren är förgiftad.,Pukka pekar på en spelare. Den spelaren är förgiftad. Den tidigare förgiftade spelaren dör.,,"Död,Förgiftad"
